tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,10000,1.0,1.0,1,1,4.7549e-5,4.749e-6,0.01943061,0.005470371,0.004987538,2,3,2,3,1,1,1,1,24,64,24,52
0.01,10000,1.0,1.0,2,1,4.9743e-5,4.338e-6,0.210853476,0.014850544,0.014197773,4,11,2,8,1,1,1,1,180,920,88,312
0.01,10000,1.0,1.0,3,1,3.5947e-5,3.045e-6,0.643011312,0.043409588,0.012611407,4,7,6,8,1,1,1,1,320,676,740,514
0.01,10000,1.0,1.0,4,1,3.8061e-5,1.653e-6,1.286264767,0.059969409,0.069676054,8,8,6,8,1,1,1,1,1752,2096,1244,734
0.01,10000,1.0,1.0,5,1,4.1618e-5,2.344e-6,1.724792066,0.0840195,0.039523831,7,7,8,8,1,1,1,1,1720,1520,2260,914
0.01,10000,1.0,1.0,6,1,4.3261e-5,2.535e-6,2.015895802,0.112625622,0.050827131,6,8,10,8,1,1,1,1,2280,1716,4400,1060
0.001,10000,1.0,1.0,1,1,3.4033e-5,1.704e-6,0.020531289,0.004951992,0.005775451,2,4,2,4,1,1,1,1,48,80,48,104
0.001,10000,1.0,1.0,2,1,3.3563e-5,1.452e-6,0.195973004,0.036237775,0.017128115,5,14,5,12,1,1,1,1,400,1232,400,926
0.001,10000,1.0,1.0,3,1,4.834e-5,1.853e-6,0.752275276,0.046075805,0.058789403,9,21,9,26,1,1,1,1,1932,6708,1824,5066
0.001,10000,1.0,1.0,4,1,4.7509e-5,1.974e-6,2.257149915,0.068566559,0.050905598,15,24,14,20,1,1,1,1,4796,9484,4588,4490
0.001,10000,1.0,1.0,5,1,4.811e-5,2.054e-6,4.538443888,0.099983708,0.082836567,15,25,15,24,1,1,1,1,6680,14676,6684,6398
0.001,10000,1.0,1.0,6,1,5.379e-5,2.495e-6,9.356634033,0.137734713,0.07571604,16,19,15,18,1,1,1,1,9384,11444,8660,4460
0.0001,10000,1.0,1.0,1,1,4.0456e-5,2.274e-6,0.022851519,0.006344085,0.005018196,2,4,3,7,1,1,1,1,48,80,64,152
0.0001,10000,1.0,1.0,2,1,3.77e-5,1.724e-6,0.157680456,0.018166677,0.038830904,8,14,8,34,1,1,1,1,724,1232,676,4600
0.0001,10000,1.0,1.0,3,1,4.3822e-5,1.663e-6,0.795630354,0.067499373,0.242079336,10,25,10,72,1,1,1,1,2280,8656,2280,33352
0.0001,10000,1.0,1.0,4,1,4.9753e-5,2.865e-6,5.822938379,0.149762347,0.783660987,17,51,17,106,1,1,1,1,6016,39648,6588,80214
0.0001,10000,1.0,1.0,5,1,4.9232e-5,2.675e-6,15.40680616,0.394632714,1.379955507,19,73,19,98,1,1,1,1,11392,107528,11304,93486
0.0001,10000,1.0,1.0,6,1,5.2388e-5,2.174e-6,27.498576881,0.495080612,1.34997121,20,70,20,80,1,1,1,1,15572,139788,15328,84076
1.0e-5,10000,1.0,1.0,1,1,3.774e-5,1.964e-6,0.034559556,0.006554399,0.005906927,3,4,3,8,1,1,1,1,80,80,80,168
1.0e-5,10000,1.0,1.0,2,1,3.1189e-5,1.392e-6,0.187343636,0.014306427,0.049382069,9,15,9,60,1,1,1,1,776,1296,776,11440
1.0e-5,10000,1.0,1.0,3,1,4.3471e-5,2.395e-6,0.891878356,0.067942672,0.706262742,14,29,13,170,1,1,1,1,3032,10864,2844,133422
1.0e-5,10000,1.0,1.0,4,1,5.3851e-5,2.515e-6,10.312154264,0.214434724,3.028204926,20,68,20,248,1,1,1,1,8120,62864,7996,370528
1.0e-5,10000,1.0,1.0,5,1,5.5073e-5,1.087e-5,23.169248248,0.521296723,5.316145692,24,92,23,240,1,1,1,1,17056,160824,16084,489426
1.0e-5,10000,1.0,1.0,6,1,5.4081e-5,2.505e-6,56.499843649,0.962342618,6.83982276,31,110,29,192,1,1,1,1,26108,298844,24720,432150
1.0e-6,10000,1.0,1.0,1,1,4.0255e-5,2.144e-6,0.022339862,0.006468208,0.006407884,3,4,3,8,1,1,1,1,80,80,80,168
1.0e-6,10000,1.0,1.0,2,1,3.0467e-5,1.273e-6,0.223873427,0.014713168,0.058759578,9,16,9,64,1,1,1,1,776,1360,776,15074
1.0e-6,10000,1.0,1.0,3,1,3.8722e-5,1.833e-6,0.887645963,0.088525368,1.351482322,16,35,14,318,1,1,1,1,3928,13192,3408,370660
1.0e-6,10000,1.0,1.0,4,1,5.0094e-5,3.075e-6,8.549856128,0.227689085,8.675528804,23,86,22,550,1,1,1,1,10468,91948,9832,1368014
1.0e-6,10000,1.0,1.0,5,1,5.5444e-5,3.376e-6,36.070956843,0.704793589,20.904481054,29,114,29,520,1,1,1,1,20836,247768,20976,2007096
1.0e-6,10000,1.0,1.0,6,1,5.3049e-5,3.416e-6,121.788865373,1.499669433,29.787335317,38,141,37,418,1,1,1,1,37540,486736,34648,1973134
1.0e-7,10000,1.0,1.0,1,1,4.273e-5,2.655e-6,0.022193188,0.005248837,0.00522371,3,4,3,8,1,1,1,1,80,80,80,168
1.0e-7,10000,1.0,1.0,2,1,3.6538e-5,1.363e-6,0.193678606,0.013835787,0.061564113,9,16,9,64,1,1,1,1,776,1360,776,16664
1.0e-7,10000,1.0,1.0,3,1,4.5535e-5,2.214e-6,1.035295778,0.061091228,2.522540293,16,39,16,460,1,1,1,1,3928,14560,3928,730800
